Time,PE,PN,PU,VE,VN,VU,Qw,Qx,Qy,Qz
14780.0029,-0.1498,-0.1100,-0.0616,-0.0077,-0.0060,0.0120,1.0000,0.0002,0.0003,-0.0005
14780.0127,-0.1498,-0.1100,-0.0615,-0.0078,-0.0062,0.0134,1.0000,0.0001,0.0003,-0.0005
14780.0234,-0.1499,-0.1101,-0.0614,-0.0079,-0.0063,0.0150,1.0000,0.0001,0.0003,-0.0005
14780.0410,-0.1500,-0.1102,-0.0611,-0.0146,-0.0114,0.0176,1.0000,0.0001,0.0003,-0.0006
14780.0498,-0.1500,-0.1102,-0.0609,-0.0074,-0.0057,0.0190,1.0000,0.0002,0.0003,-0.0007
14780.0576,-0.1501,-0.1102,-0.0608,-0.0065,-0.0048,0.0202,1.0000,0.0002,0.0003,-0.0007
14780.0664,-0.1501,-0.1102,-0.0606,-0.0065,-0.0046,0.0213,1.0000,0.0002,0.0002,-0.0007
14780.0742,-0.1501,-0.1103,-0.0671,-0.0065,-0.0046,0.0111,1.0000,0.0001,0.0003,-0.0006
14780.0830,-0.1501,-0.1103,-0.0670,-0.0073,-0.0051,0.0124,1.0000,0.0001,0.0003,-0.0006
14780.0928,-0.1502,-0.1103,-0.0669,-0.0082,-0.0056,0.0139,1.0000,0.0002,0.0002,-0.0007
14780.1025,-0.1502,-0.1103,-0.0667,-0.0082,-0.0054,0.0153,1.0000,0.0001,0.0002,-0.0007
14780.1133,-0.1503,-0.1104,-0.0976,-0.0081,-0.0054,-0.0356,1.0000,0.0001,0.0003,-0.0006
14780.1230,-0.1503,-0.1104,-0.0979,-0.0084,-0.0055,-0.0342,1.0000,0.0002,0.0002,-0.0007
14780.1328,-0.1503,-0.1104,-0.0982,-0.0083,-0.0054,-0.0327,1.0000,0.0001,0.0001,-0.0006
14780.1426,-0.1504,-0.1104,-0.0986,-0.0084,-0.0054,-0.0312,1.0000,0.0001,0.0001,-0.0006
14780.1533,-0.1504,-0.1105,-0.0131,-0.0083,-0.0055,0.1147,1.0000,0.0001,0.0002,-0.0005
14780.1631,-0.1505,-0.1105,-0.0119,-0.0082,-0.0056,0.1161,1.0000,0.0000,0.0002,-0.0004
14780.1729,-0.1505,-0.1105,-0.0108,-0.0082,-0.0058,0.1176,1.0000,-0.0000,0.0001,-0.0004
14780.1826,-0.1506,-0.1106,-0.0096,-0.0083,-0.0058,0.1189,1.0000,0.0000,0.0002,-0.0005
14780.1934,-0.1506,-0.1106,-0.0221,-0.0085,-0.0059,0.0971,1.0000,-0.0000,0.0001,-0.0005
14780.2031,-0.1506,-0.1106,-0.0212,-0.0086,-0.0058,0.0985,1.0000,-0.0001,-0.0001,-0.0005
14780.2129,-0.1507,-0.1106,-0.0202,-0.0086,-0.0056,0.1000,1.0000,-0.0000,-0.0001,-0.0005
