Time,Alt,Vel,Drag,Cd,Mach,Rho
14785.0732,226.6690,219.7954,28.7583,0.0550,0.6544,1.1866
14785.0830,228.5292,219.6684,62.9900,0.1206,0.6541,1.1866
14785.0928,230.3882,219.5264,93.5533,0.1794,0.6537,1.1867
14785.1025,232.3946,219.6923,115.2685,0.2208,0.6542,1.1858
14785.1133,234.2544,219.5305,134.7930,0.2586,0.6537,1.1858
14785.1230,236.1127,219.3563,161.1264,0.3096,0.6532,1.1859
14785.1328,237.9695,219.1757,174.9890,0.3368,0.6527,1.1859
14785.1426,240.2264,219.8399,171.6313,0.3287,0.6547,1.1847
14785.1533,242.0900,219.6628,168.4743,0.3231,0.6542,1.1848
14785.1631,243.9521,219.4868,168.5447,0.3238,0.6537,1.1848
14785.1729,245.8127,219.3081,172.0675,0.3310,0.6531,1.1849
14785.1826,247.8766,219.5468,174.0125,0.3343,0.6539,1.1840
14785.1934,249.7389,219.3652,175.0988,0.3370,0.6533,1.1840
14785.2031,251.5995,219.1818,177.1668,0.3415,0.6528,1.1841
14785.2129,253.4585,218.9982,177.0898,0.3419,0.6523,1.1841
14785.2227,255.7407,219.6582,178.9750,0.3438,0.6543,1.1829
14785.2334,257.6061,219.4727,179.1714,0.3448,0.6537,1.1830
14785.2432,259.4697,219.2869,178.1493,0.3434,0.6532,1.1830
14785.2529,261.3314,219.1015,176.0390,0.3398,0.6526,1.1831
14785.4502,287.7266,200.9326,172.8188,0.3969,0.5987,1.1824
14785.4619,289.7053,200.7174,172.9005,0.3979,0.5981,1.1825
14785.4697,291.0230,200.5692,172.8051,0.3983,0.5976,1.1825
14785.4775,298.9987,209.9604,172.6553,0.3653,0.6257,1.1756
14785.4863,300.4064,209.8129,172.6553,0.3658,0.6253,1.1757
14785.4971,302.3402,209.6155,171.8483,0.3647,0.6247,1.1757
14785.5039,303.5697,209.4850,171.8246,0.3651,0.6243,1.1757
14785.5127,309.7780,215.8285,171.7722,0.3441,0.6433,1.1748
14785.5215,311.2428,215.6805,172.2754,0.3456,0.6428,1.1749
14785.5293,312.7064,215.5319,172.3617,0.3462,0.6424,1.1749
14785.5371,314.1688,215.3843,170.8003,0.3436,0.6420,1.1749
14785.5479,319.4995,219.7768,172.0851,0.3327,0.6551,1.1741
14785.5557,321.0025,219.6292,172.0851,0.3331,0.6547,1.1741
14785.5645,322.5043,219.4813,171.3769,0.3322,0.6542,1.1742
14785.5723,324.0050,219.3329,169.9513,0.3299,0.6538,1.1742
14785.5801,328.2214,222.8981,170.3937,0.3205,0.6645,1.1732
14785.5898,330.1374,222.7149,169.5022,0.3193,0.6639,1.1733
14785.5977,331.6689,222.5665,169.1353,0.3191,0.6635,1.1733
14785.6064,333.1992,222.4181,169.1353,0.3195,0.6631,1.1734
14785.6143,337.0076,225.3646,169.3278,0.3118,0.6719,1.1724
14785.6221,338.5643,225.2162,168.4454,0.3106,0.6715,1.1724
14785.6309,340.3141,225.0522,169.6628,0.3133,0.6710,1.1725
14785.6406,342.2567,224.8725,169.3500,0.3132,0.6705,1.1725
14785.6494,345.4528,226.9533,167.4584,0.3042,0.6767,1.1717
14785.6572,347.0251,226.8060,167.3667,0.3044,0.6763,1.1718
14785.6650,348.5962,226.6588,167.3667,0.3048,0.6758,1.1718
14785.6729,350.1661,226.5112,169.3082,0.3087,0.6754,1.1719
14785.6836,353.7014,228.1844,169.0755,0.3040,0.6804,1.1709
14785.6924,355.2858,228.0368,168.0275,0.3025,0.6800,1.1710
14785.7002,356.8691,227.8903,167.6402,0.3022,0.6796,1.1710
