Time,G_w,G_x,G_y,G_z,M_w,M_x,M_y,M_z,Nx,Ny,Nz
14773.0957,1.0000,-0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
14773.1035,1.0000,-0.0000,-0.0000,-0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
14773.1133,1.0000,-0.0000,-0.0000,-0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
14773.1230,1.0000,-0.0000,-0.0000,-0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
14773.1328,1.0000,-0.0000,-0.0000,-0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
14773.1426,1.0000,-0.0000,-0.0000,-0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
14773.1533,1.0000,-0.0000,-0.0000,-0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
14773.1631,1.0000,-0.0000,-0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
14773.1729,1.0000,-0.0001,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
14773.1826,1.0000,-0.0001,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
14773.1934,1.0000,-0.0001,0.0000,-0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
14773.2031,1.0000,-0.0001,0.0000,-0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
14773.2129,1.0000,-0.0001,0.0000,-0.0001,1.0000,0.0021,-0.0006,-0.0009,-0.0011,-0.0042,1.0000
14773.2227,1.0000,-0.0001,0.0000,-0.0001,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
14773.2334,1.0000,-0.0001,0.0000,-0.0001,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
14773.2432,1.0000,-0.0001,0.0000,-0.0001,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
14773.2529,1.0000,-0.0001,0.0000,-0.0001,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
14773.2627,1.0000,-0.0001,0.0000,-0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
14773.2734,1.0000,-0.0001,0.0000,-0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
14773.2832,1.0000,-0.0001,-0.0000,-0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
14773.2930,1.0000,-0.0001,-0.0000,-0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
14773.3027,1.0000,-0.0001,-0.0000,-0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
14773.3135,1.0000,-0.0001,-0.0000,-0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
14773.3232,1.0000,-0.0001,-0.0000,-0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
14773.3330,1.0000,-0.0002,-0.0000,-0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
14773.3428,1.0000,-0.0002,-0.0000,-0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
14773.3525,1.0000,-0.0002,-0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
14773.3633,1.0000,-0.0002,-0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
14773.3730,1.0000,-0.0002,-0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
14773.3828,1.0000,-0.0002,-0.0001,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
14773.3926,1.0000,-0.0002,-0.0001,-0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
14773.4033,1.0000,-0.0002,-0.0001,-0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
14773.4131,1.0000,-0.0002,-0.0001,-0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
14773.4229,1.0000,-0.0002,-0.0001,-0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
14773.4326,1.0000,-0.0002,-0.0001,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
14773.4434,1.0000,-0.0002,-0.0001,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
14773.4531,1.0000,-0.0003,-0.0001,0.0001,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
14773.4629,1.0000,-0.0003,-0.0001,0.0001,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
