Starting Clean Replay...
.......................................................................................................................................................................................................
Done! Processed 19999 data rows
Time,Alt,PosN,PosE,V_Up,V_N,V_E,Zenith,BrakePct
14780.0029,-0.0621,-0.1035,-0.1554,0.0112,-0.0053,-0.0083,41.5111,0.0000
14780.0127,-0.0620,-0.1036,-0.1555,0.0126,-0.0056,-0.0084,38.7295,0.0000
14780.0234,-0.0619,-0.1036,-0.1555,0.0142,-0.0057,-0.0086,35.9887,0.0000
14780.0410,-0.0616,-0.1037,-0.1556,0.0168,-0.0103,-0.0156,48.1637,0.0000
14780.0498,-0.0615,-0.1037,-0.1557,0.0181,-0.0051,-0.0079,27.4971,0.0000
14780.0576,-0.0613,-0.1037,-0.1557,0.0193,-0.0043,-0.0070,22.9882,0.0000
14780.0664,-0.0611,-0.1037,-0.1557,0.0204,-0.0041,-0.0070,21.6110,0.0000
14780.0742,-0.0676,-0.1037,-0.1558,0.0103,-0.0041,-0.0070,38.2183,0.0000
14780.0830,-0.0675,-0.1038,-0.1558,0.0116,-0.0045,-0.0078,38.0880,0.0000
14780.0928,-0.0674,-0.1038,-0.1558,0.0130,-0.0050,-0.0087,37.7011,0.0000
14780.1025,-0.0673,-0.1038,-0.1559,0.0144,-0.0048,-0.0087,34.6587,0.0000
14780.1133,-0.0981,-0.1038,-0.1559,-0.0365,-0.0048,-0.0087,164.7583,0.0000
14780.1230,-0.0984,-0.1039,-0.1560,-0.0351,-0.0048,-0.0089,163.8564,0.0000
14780.1328,-0.0988,-0.1039,-0.1560,-0.0336,-0.0048,-0.0089,163.2676,0.0000
14780.1426,-0.0991,-0.1039,-0.1561,-0.0321,-0.0048,-0.0089,162.5846,0.0000
14780.1533,-0.0136,-0.1039,-0.1561,0.1138,-0.0049,-0.0088,5.0700,0.0000
14780.1631,-0.0125,-0.1040,-0.1561,0.1152,-0.0050,-0.0087,4.9825,0.0000
14780.1729,-0.0113,-0.1040,-0.1562,0.1167,-0.0052,-0.0087,4.9618,0.0000
14780.1826,-0.0101,-0.1040,-0.1562,0.1180,-0.0052,-0.0089,4.9813,0.0000
14780.1934,-0.0227,-0.1040,-0.1563,0.0962,-0.0053,-0.0091,6.2174,0.0000
14780.2031,-0.0217,-0.1041,-0.1563,0.0977,-0.0052,-0.0091,6.1443,0.0000
14780.2129,-0.0207,-0.1041,-0.1564,0.0992,-0.0050,-0.0090,5.9432,0.0000
14780.2227,-0.0197,-0.1041,-0.1564,0.1006,-0.0048,-0.0090,5.7626,0.0000
14780.2334,-0.0070,-0.1041,-0.1565,0.1217,-0.0045,-0.0090,4.7339,0.0000
14780.2432,-0.0058,-0.1042,-0.1565,0.1231,-0.0044,-0.0091,4.6762,0.0000
14780.2529,-0.0046,-0.1042,-0.1566,0.1245,-0.0042,-0.0091,4.5909,0.0000
14780.2627,-0.0033,-0.1042,-0.1566,0.1259,-0.0043,-0.0090,4.5328,0.0000
14780.2734,-0.0021,-0.1042,-0.1566,0.1273,-0.0043,-0.0090,4.4875,0.0000
14780.2832,-0.0008,-0.1042,-0.1567,0.1286,-0.0044,-0.0090,4.4539,0.0000
14780.2930,0.0005,-0.1043,-0.1567,0.1300,-0.0046,-0.0089,4.4282,0.0000
14780.3027,0.0018,-0.1043,-0.1568,0.1315,-0.0048,-0.0090,4.4311,0.0000
14780.3135,-0.0275,-0.1043,-0.1568,0.0816,-0.0049,-0.0089,7.0938,0.0000
14780.3232,-0.0267,-0.1043,-0.1569,0.0830,-0.0050,-0.0087,6.9206,0.0000
14780.3330,-0.0259,-0.1044,-0.1569,0.0845,-0.0050,-0.0087,6.7938,0.0000
14780.3428,-0.0250,-0.1044,-0.1570,0.0859,-0.0050,-0.0087,6.6736,0.0000
14780.3525,-0.0236,-0.1044,-0.1570,0.0884,-0.0050,-0.0086,6.4533,0.0000
14780.3633,-0.0227,-0.1044,-0.1570,0.0898,-0.0049,-0.0087,6.3116,0.0000
14780.3730,-0.0218,-0.1045,-0.1571,0.0913,-0.0047,-0.0087,6.2084,0.0000
14780.3828,-0.0209,-0.1045,-0.1571,0.0928,-0.0047,-0.0087,6.1069,0.0000
14780.3926,-0.0074,-0.1045,-0.1572,0.1149,-0.0045,-0.0087,4.8814,0.0000
14780.4033,-0.0063,-0.1045,-0.1572,0.1164,-0.0044,-0.0087,4.7814,0.0000
14780.4131,-0.0051,-0.1046,-0.1573,0.1179,-0.0045,-0.0086,4.7227,0.0000
14780.4229,-0.0039,-0.1046,-0.1573,0.1193,-0.0045,-0.0087,4.6696,0.0000
